Timestamp,JavaHeap_KB,NativeHeap_KB,TotalPSS_KB,TotalRSS_KB,CPU_Usage_Percent,Available_RAM_KB
2025-04-13 09:57:28,32360,84900,165393,260760,NOT_FOUND,2850848
2025-04-13 09:57:30,27268,79532,159848,256088,NOT_FOUND,2835740
2025-04-13 09:57:32,27280,80684,161078,257276,NOT_FOUND,2816024
2025-04-13 09:57:34,27268,80696,161123,257312,NOT_FOUND,2828796
2025-04-13 09:57:36,27824,81388,162327,258524,NOT_FOUND,2810956
2025-04-13 09:57:37,55156,88480,196787,292984,NOT_FOUND,2824764
2025-04-13 09:57:39,27280,79852,160311,256512,NOT_FOUND,2868632
2025-04-13 09:57:41,27264,80252,160747,256968,NOT_FOUND,2884284
2025-04-13 09:57:43,27292,79872,160427,256652,NOT_FOUND,2859400
2025-04-13 09:57:45,27820,80252,161363,257588,NOT_FOUND,2872308
2025-04-13 09:57:46,27268,80624,161215,257440,NOT_FOUND,2877036
2025-04-13 09:57:48,27280,80996,161627,257852,NOT_FOUND,2870108
2025-04-13 09:57:50,27264,80244,160898,257128,NOT_FOUND,2880968
2025-04-13 09:57:52,27280,79852,160546,256776,NOT_FOUND,2867648
2025-04-13 09:57:54,27260,80624,161334,257568,NOT_FOUND,2879916
2025-04-13 09:57:56,32000,84648,170146,266380,NOT_FOUND,2877604
2025-04-13 09:57:58,27280,80792,161586,257820,NOT_FOUND,2871332
2025-04-13 09:57:59,27264,80788,161610,257848,NOT_FOUND,2871776
2025-04-13 09:58:01,34680,83640,172050,268292,NOT_FOUND,2874652
2025-04-13 09:58:03,27284,80428,161338,257580,NOT_FOUND,2867004
2025-04-13 09:58:05,27272,81576,162514,258760,NOT_FOUND,2863564
2025-04-13 09:58:07,27264,80812,161782,258032,NOT_FOUND,2873020
2025-04-13 09:58:09,27292,80812,161834,258084,NOT_FOUND,2862776
2025-04-13 09:58:11,27280,80044,161094,257348,NOT_FOUND,2860784
2025-04-13 09:58:13,27276,80808,161886,258140,NOT_FOUND,2857796
2025-04-13 09:58:15,27264,79660,160766,257028,NOT_FOUND,2871888
2025-04-13 09:58:17,27812,80816,162506,258768,NOT_FOUND,2861400
2025-04-13 09:58:19,27268,80444,161626,257888,NOT_FOUND,2863320
2025-04-13 09:58:21,27264,80220,161434,257700,NOT_FOUND,2869640
2025-04-13 09:58:22,27276,79840,161090,257356,NOT_FOUND,2848840
2025-04-13 09:58:24,27264,80384,161658,257924,NOT_FOUND,2868576
2025-04-13 09:58:26,27816,79992,161850,258116,NOT_FOUND,2856364
2025-04-13 09:58:28,27276,81140,162482,258752,NOT_FOUND,2863416
2025-04-13 09:58:30,36480,85172,175723,272040,NOT_FOUND,2817208
2025-04-13 09:58:32,27288,81216,162732,259180,NOT_FOUND,2796764
2025-04-13 09:58:33,43888,85216,183478,279896,NOT_FOUND,2821184
2025-04-13 09:58:35,27292,81216,162766,259184,NOT_FOUND,2846336
2025-04-13 09:58:37,27268,81212,162664,259164,NOT_FOUND,2836328
2025-04-13 09:58:39,27288,81220,162659,259196,NOT_FOUND,2819128
2025-04-13 09:58:41,27264,80840,162178,258792,NOT_FOUND,2805320
2025-04-13 09:58:43,27836,85616,167573,264180,NOT_FOUND,2788640
2025-04-13 09:58:45,33716,85824,173660,270268,NOT_FOUND,2796252
2025-04-13 09:58:47,27260,81228,162613,259228,NOT_FOUND,2809276
2025-04-13 09:58:49,27240,81216,162580,259196,NOT_FOUND,2816508
2025-04-13 09:58:51,27284,80840,162252,258872,NOT_FOUND,2809036
2025-04-13 09:58:52,27276,81220,162628,259248,NOT_FOUND,2819860
2025-04-13 09:58:54,27264,81224,162620,259240,NOT_FOUND,2818820
2025-04-13 09:58:56,27844,85316,167292,263912,NOT_FOUND,2813900
2025-04-13 09:58:58,27272,81688,163096,259716,NOT_FOUND,2815032
2025-04-13 09:59:00,27256,81304,162696,259316,NOT_FOUND,2814336
2025-04-13 09:59:02,27272,80916,162324,258944,NOT_FOUND,2806884
2025-04-13 09:59:04,27260,81312,162716,259340,NOT_FOUND,2807836
2025-04-13 09:59:06,27280,80936,162360,258984,NOT_FOUND,2802404
2025-04-13 09:59:07,27268,80932,162348,258972,NOT_FOUND,2805840
2025-04-13 09:59:09,27828,83572,165552,262180,NOT_FOUND,2801944
2025-04-13 09:59:11,33712,85912,173776,270404,NOT_FOUND,2787036
2025-04-13 09:59:13,27256,81312,162724,259352,NOT_FOUND,2808424
2025-04-13 09:59:15,27276,80916,162348,258976,NOT_FOUND,2806856
2025-04-13 09:59:17,27264,81300,162720,259348,NOT_FOUND,2811596
